name,holiday
CHINA,2019-01-01
CHINA,2024-06-10
CHINA,2020-01-28
CHINA,2023-01-02
CHINA,2023-05-01
CHINA,2024-04-04
CHINA,2019-06-07
CHINA,2021-02-12
CHINA,2022-02-01
CHINA,2020-01-30
CHINA,2022-10-04
CHINA,2022-10-03
CHINA,2020-05-01
CHINA,2022-06-03
CHINA,2021-04-05
CHINA,2020-01-31
CHINA,2022-02-04
CHINA,2020-10-01
CHINA,2024-02-15
CHINA,2019-10-04
CHINA,2022-02-02
CHINA,2023-10-05
CHINA,2021-10-01
CHINA,2019-05-01
CHINA,2019-12-07
CHINA,2020-01-01
CHINA,2021-01-01
CHINA,2023-01-23
CHINA,2024-10-01
CHINA,2021-10-04
CHINA,2024-02-12
CHINA,2019-02-06
CHINA,2021-06-14
CHINA,2019-10-02
CHINA,2023-04-05
CHINA,2019-02-05
CHINA,2019-02-08
CHINA,2021-02-17
CHINA,2024-09-17
CHINA,2023-10-03
CHINA,2021-02-16
CHINA,2019-10-03
CHINA,2022-10-05
CHINA,2023-01-25
CHINA,2024-10-02
CHINA,2024-10-03
CHINA,2024-02-14
CHINA,2020-10-05
CHINA,2023-06-22
CHINA,2023-01-26
CHINA,2020-01-27
CHINA,2022-01-03
CHINA,2023-10-02
CHINA,2024-02-13
CHINA,2024-01-01
CHINA,2019-04-05
CHINA,2022-04-05
CHINA,2019-02-04
CHINA,2022-02-03
CHINA,2019-10-01
CHINA,2021-02-15
CHINA,2024-10-04
CHINA,2019-02-07
CHINA,2020-10-02
CHINA,2023-09-29
CHINA,2020-01-29
CHINA,2020-06-25
CHINA,2019-09-13
CHINA,2021-10-05
CHINA,2023-01-27
CHINA,2020-04-04
CHINA,2023-10-04
CHINA,2023-01-24
CHINA,2024-05-01
