instrument_id,instrument_type,listed_date,delisted_date,asset_class,data_source,status,short_name,option_traded_type,contract_type
000905.SH,INDEX,2007-01-15,0.0,EQUITY,WIND,ACTIVE,中证500,OTC,0.0
600030.SH,STOCK,2003-01-06,0.0,EQUITY,WIND,ACTIVE,0.0,OTC,0.0
AU9999.SGE,SPOT,0.0,0.0,COMMODITY,WIND,ACTIVE,SGE黄金9999,OTC,0.0
RB2002.SHF,FUTURE,2019-02-18,2020-02-17,COMMODITY,WIND,ACTIVE,螺纹钢2002,OTC,RB
RB2009.SHF,FUTURE,2019-09-18,2020-09-15,COMMODITY,WIND,ACTIVE,螺纹钢2009,OTC,RB
RB2005.SHF,FUTURE,2019-05-16,2020-05-15,COMMODITY,WIND,ACTIVE,螺纹钢2005,OTC,RB
RB2004.SHF,FUTURE,2019-04-16,2020-04-15,COMMODITY,WIND,ACTIVE,螺纹钢2004,OTC,RB
RB2003.SHF,FUTURE,2019-03-18,2020-03-16,COMMODITY,WIND,ACTIVE,螺纹钢2003,OTC,RB
RB2001.SHF,FUTURE,2019-01-16,2020-01-15,COMMODITY,WIND,ACTIVE,螺纹钢2001,OTC,RB
RB2007.SHF,FUTURE,2019-07-16,2020-07-15,COMMODITY,WIND,ACTIVE,螺纹钢2007,OTC,RB
